movie_id,imdb_id,tmdb_id,rating,average_rating,title
5459,0120912,608,4.0,3.06301,Men in Black II (2002)
5463,0253556,6278,3.5,3.02822,Reign of Fire (2002)
5464,0257044,4147,4.0,3.67214,Road to Perdition (2002)
5481,0295178,818,4.0,2.96986,Austin Powers in Goldmember (2002)
5502,0286106,2675,4.0,3.26701,Signs (2002)
5507,0295701,7451,3.5,2.78823,xXx (2002)
5522,0073631,11484,3.5,3.17313,Rollerball (1975)
5523,0180052,11692,3.0,2.04006,The Adventures of Pluto Nash (2002)
5528,0265459,9357,3.0,3.31572,One Hour Photo (2002)
5541,0102059,9595,4.0,3.30886,Hot Shots! (1991)
5570,0117883,9299,3.5,3.72978,Thesis (1996)
5574,0293662,4108,4.0,3.38504,The Transporter (2002)
5617,0274812,11013,1.5,3.6995,Secretary (2002)
5621,0290095,10771,3.0,2.57718,The Tuxedo (2002)
5630,0289765,9533,4.5,3.56034,Red Dragon (2002)
5636,0271259,9260,5.0,3.03801,Welcome to Collinwood (2002)
5669,0310793,1430,3.5,3.6692,Bowling for Columbine (2002)
5678,0227984,1613,4.0,2.98723,The 51st State (2001)
5679,0298130,565,3.0,3.34484,The Ring (2002)
5803,0297181,8427,4.0,2.75242,I Spy (2002)
5810,0298203,65,4.0,3.35768,8 Mile (2002)
5816,0295297,672,3.0,3.65797,Harry Potter and the Chamber of Secrets (2002)
5872,0246460,36669,2.0,3.07916,Die Another Day (2002)
5881,0307479,2103,2.0,3.16412,Solaris (2002)
5893,0110308,25284,3.0,3.69469,The Last Seduction (1994)
5900,0289848,9932,4.0,2.85974,Analyze That (2002)
5902,0268126,2757,3.5,3.84742,Adaptation. (2002)
5952,0167261,121,4.0,4.08745,The Lord of the Rings: The Two Towers (2002)
5956,0217505,3131,3.5,3.56881,Gangs of New York (2002)
5959,0272207,11022,3.0,3.48929,Narc (2002)
5989,0264464,640,5.0,3.9714,Catch Me If You Can (2002)
5995,0253474,423,5.0,4.0569,The Pianist (2002)
6003,0290538,4912,4.0,3.56841,Confessions of a Dangerous Mind (2002)
6006,0305711,12090,3.5,2.67665,Just Married (2003)
6012,0295289,9582,3.5,2.84715,A Guy Thing (2003)
6014,0271668,11078,4.0,2.71335,National Security (2003)
6016,0317248,598,4.0,4.17941,City of God (2002)
6058,0309593,9358,4.0,2.94881,Final Destination 2 (2003)
6059,0292506,1647,4.0,3.38622,The Recruit (2003)
6155,0251127,9919,4.0,3.22745,How to Lose a Guy in 10 Days (2003)
6156,0300471,6038,3.5,3.10558,Shanghai Knights (2003)
6157,0287978,9480,3.0,2.48508,Daredevil (2003)
6187,0289992,11615,3.0,3.68058,The Life of David Gale (2003)
6188,0302886,11635,4.0,3.58908,Old School (2003)
6196,0306685,10623,3.5,2.83391,Cradle 2 the Grave (2003)
6213,0314353,9567,4.0,3.22465,Tears of the Sun (2003)
6218,0286499,455,3.5,3.44749,Bend It Like Beckham (2002)
6263,0264395,10782,4.0,3.19356,Basic (2003)
6264,0298814,9341,3.0,2.67924,The Core (2003)
6266,0286788,10735,2.5,3.11958,What a Girl Wants (2003)
6280,0266465,8409,4.0,2.88199,A Man Apart (2003)
6281,0183649,1817,4.5,3.35928,Phone Booth (2003)
6287,0305224,9506,3.0,2.94236,Anger Management (2003)
6291,0300140,12093,3.0,3.83714,Lilya 4-ever (2002)
6298,0328099,13411,3.0,2.40635,Malibu's Most Wanted (2003)
6323,0309698,2832,4.0,3.60976,Identity (2003)
6333,0290334,36658,3.5,3.55654,X2 (2003)
6365,0234215,604,4.5,3.38829,The Matrix Reloaded (2003)
6373,0315327,310,4.0,3.23801,Bruce Almighty (2003)
6374,0314786,5146,4.0,2.89931,The In-Laws (2003)
6377,0266543,12,4.0,3.81484,Finding Nemo (2003)
6378,0317740,9654,4.0,3.54319,The Italian Job (2003)
6383,0322259,584,3.0,2.66367,2 Fast 2 Furious (2003)
6502,0289043,170,4.0,3.77781,28 Days Later (2002)
6503,0305357,9471,3.0,2.51499,Charlie's Angels: Full Throttle (2003)
6534,0286716,1927,2.5,2.60978,Hulk (2003)
6537,0181852,296,3.0,3.04273,Terminator 3: Rise of the Machines (2003)
6539,0325980,22,4.0,3.79376,Pirates of the Caribbean: The Curse of the Black Pearl (2003)
6541,0311429,8698,3.0,2.79886,The League of Extraordinary Gentlemen (2003)
6548,0172156,8961,4.0,3.16392,Bad Boys II (2003)
6550,0274166,9486,5.0,2.98684,Johnny English (2003)
6552,0301199,3472,3.0,3.73019,Dirty Pretty Things (2002)
6564,0325703,1996,3.5,2.74259,Lara Croft: Tomb Raider - The Cradle of Life (2003)
6586,0328828,8273,2.5,2.89543,American Wedding (2003)
6593,0322330,10330,4.0,3.0702,Freaky Friday (2003)
6595,0257076,9257,3.5,2.96267,S.W.A.T. (2003)
6686,0288045,10610,1.5,2.63891,The Medallion (2003)
6687,0270980,2830,3.0,2.37688,My Boss's Daughter (2003)
6708,0325805,7270,4.5,3.63678,Matchstick Men (2003)
6709,0285823,1428,3.0,3.17081,Once Upon a Time in Mexico (2003)
6754,0320691,277,4.0,3.37594,Underworld (2003)
6764,0327850,10159,3.0,3.34557,The Rundown (2003)
6787,0074119,891,3.0,4.02336,All the President's Men (1976)
6796,0101507,650,4.0,3.76804,Boyz n the Hood (1991)
6862,0313443,2116,4.5,3.22383,Out of Time (2003)
6863,0332379,1584,4.0,3.42197,The School of Rock (2003)
6870,0327056,322,3.0,3.81426,Mystic River (2003)
6874,0266697,24,2.0,3.86013,Kill Bill: Vol. 1 (2003)
6884,0312549,10629,4.0,3.34568,Veronica Guerin (2003)
6888,0306047,4256,3.0,2.47954,Scary Movie 3 (2003)
6932,0323944,13537,3.5,3.64892,Shattered Glass (2003)
6934,0242653,605,4.5,3.25046,The Matrix Revolutions (2003)
6942,0314331,508,4.0,3.68771,Love Actually (2003)
